,Married,Education,LoanAmount,Loan_Status
1,1,0,128.0,0
2,1,0,66.0,1
3,1,1,120.0,1
4,0,0,141.0,1
5,1,0,267.0,1
6,1,1,95.0,1
7,1,0,158.0,0
8,1,0,168.0,1
9,1,0,349.0,0
10,1,0,70.0,1
11,1,0,109.0,1
12,1,0,200.0,1
13,0,0,114.0,0
14,1,0,17.0,1
15,0,0,125.0,1
16,0,1,100.0,1
17,0,0,76.0,0
18,1,1,133.0,0
19,1,0,115.0,1
20,1,1,104.0,0
21,1,0,315.0,1
22,1,1,116.0,0
23,1,1,112.0,0
24,1,0,151.0,0
25,1,0,191.0,1
26,1,0,122.0,1
27,1,1,110.0,1
28,0,1,35.0,0
29,0,0,120.0,1
30,1,0,201.0,0
31,0,0,74.0,0
32,0,0,106.0,0
33,1,0,114.0,1
34,0,0,320.0,0
36,1,0,100.0,0
37,1,0,144.0,1
38,0,0,184.0,1
39,0,1,110.0,1
40,0,0,80.0,0
41,0,0,47.0,1
42,1,0,75.0,1
43,1,0,134.0,1
44,1,1,96.0,1
45,0,0,88.0,1
46,1,0,44.0,1
47,1,0,144.0,1
48,1,0,120.0,0
49,0,0,144.0,1
50,1,1,100.0,1
51,0,0,120.0,1
52,0,0,112.0,0
53,1,0,134.0,0
54,1,0,286.0,0
55,1,0,97.0,1
56,1,0,96.0,1
57,1,0,135.0,0
58,1,0,180.0,1
59,1,1,144.0,1
60,1,0,120.0,1
61,1,0,99.0,1
62,1,1,165.0,0
64,0,0,116.0,0
65,1,0,258.0,0
66,0,1,126.0,0
67,1,0,312.0,1
68,1,1,125.0,1
69,0,0,136.0,0
70,1,0,172.0,1
71,1,1,97.0,1
72,0,0,81.0,1
73,1,1,95.0,0
74,1,0,187.0,1
75,0,0,113.0,0
76,0,0,176.0,0
77,1,0,110.0,0
78,1,0,180.0,0
79,1,1,130.0,1
80,0,0,111.0,1
82,1,0,167.0,0
83,1,0,265.0,0
84,1,0,50.0,1
85,0,0,136.0,1
86,1,1,99.0,1
87,1,0,104.0,1
88,0,0,210.0,1
89,1,0,175.0,1
90,1,0,131.0,1
91,1,0,188.0,1
92,1,1,81.0,1
93,0,0,122.0,1
94,0,1,25.0,1
96,1,0,137.0,1
97,1,0,50.0,1
98,1,1,115.0,1
99,1,0,131.0,1
100,1,1,133.0,1
101,0,0,151.0,1
105,1,0,100.0,1
106,1,0,225.0,1
107,0,1,120.0,0
108,1,0,216.0,0
109,1,1,94.0,1
110,0,0,136.0,1
111,1,0,139.0,1
112,1,1,152.0,0
114,0,0,118.0,1
115,1,0,185.0,1
116,1,0,154.0,1
117,1,0,85.0,1
118,1,0,175.0,0
119,0,0,259.0,1
120,1,0,180.0,1
121,0,0,44.0,1
122,0,0,137.0,1
123,1,0,81.0,1
124,1,1,194.0,1
125,0,0,93.0,1
126,1,0,370.0,1
128,1,0,160.0,0
129,1,0,182.0,0
130,0,0,650.0,1
131,0,0,74.0,1
132,0,0,70.0,1
133,1,0,25.0,1
134,0,0,102.0,1
135,1,0,290.0,0
136,1,0,84.0,0
137,1,0,88.0,1
138,0,0,242.0,0
139,1,1,129.0,0
140,1,0,185.0,0
141,0,0,168.0,1
142,0,0,175.0,1
143,1,0,122.0,1
144,1,0,187.0,1
145,1,0,100.0,1
146,1,0,70.0,1
147,1,0,30.0,1
148,0,0,225.0,0
149,1,0,125.0,1
150,0,0,118.0,0
151,1,0,152.0,1
152,0,0,244.0,0
153,1,1,113.0,0
154,0,0,50.0,1
155,1,0,600.0,1
156,1,0,160.0,1
157,1,0,187.0,1
158,0,0,120.0,1
159,1,0,255.0,1
160,1,1,98.0,1
161,1,0,275.0,0
162,1,0,121.0,0
163,1,0,158.0,1
164,1,0,75.0,1
165,1,0,182.0,1
166,1,0,112.0,0
167,1,0,129.0,1
168,0,0,63.0,0
169,1,0,200.0,1
170,1,1,95.0,1
171,1,0,700.0,1
172,1,1,81.0,0
173,1,0,187.0,1
174,1,1,87.0,0
175,1,0,116.0,1
176,1,0,101.0,1
177,1,0,495.0,0
178,1,0,116.0,1
179,0,1,102.0,0
180,1,0,180.0,0
181,0,0,67.0,0
182,1,0,73.0,1
183,1,0,260.0,0
184,1,0,108.0,1
185,1,0,120.0,1
186,1,0,66.0,0
187,1,0,58.0,1
188,1,0,168.0,1
189,1,0,188.0,1
190,0,1,48.0,1
191,0,0,164.0,0
192,1,1,160.0,0
193,0,0,76.0,1
194,0,0,120.0,1
195,1,0,170.0,0
196,0,0,187.0,1
197,0,1,120.0,1
198,1,0,113.0,1
199,0,0,83.0,0
200,1,1,90.0,1
201,0,0,166.0,1
203,1,1,135.0,1
204,1,1,124.0,1
205,0,1,120.0,1
206,0,0,80.0,1
207,0,1,55.0,1
208,0,0,59.0,1
209,0,0,127.0,0
210,0,0,214.0,0
211,1,0,128.0,0
212,1,0,240.0,1
213,1,1,130.0,1
214,1,0,137.0,1
215,1,1,100.0,1
216,1,0,135.0,0
217,1,0,131.0,1
218,1,0,72.0,0
219,1,0,127.0,1
220,1,0,60.0,0
221,1,0,116.0,1
222,0,0,144.0,1
223,1,0,175.0,1
224,1,0,128.0,1
225,1,0,170.0,0
226,1,1,138.0,0
227,1,0,210.0,1
229,0,0,200.0,1
230,1,0,104.0,1
231,1,0,42.0,1
232,0,1,120.0,1
233,0,0,280.0,1
234,1,0,140.0,1
235,1,0,170.0,1
236,1,0,255.0,0
237,0,0,122.0,1
238,0,0,112.0,1
239,1,0,96.0,1
240,1,0,120.0,1
241,1,1,140.0,0
242,0,0,155.0,1
243,1,0,108.0,1
244,1,1,123.0,1
245,0,0,120.0,0
246,1,0,112.0,1
247,1,1,137.0,1
248,1,0,123.0,1
249,1,0,90.0,1
250,1,1,201.0,0
251,0,0,138.0,0
252,0,1,104.0,1
253,1,1,279.0,1
254,0,0,192.0,0
255,0,0,255.0,1
256,0,1,115.0,0
257,1,0,94.0,0
258,1,0,304.0,0
259,1,1,128.0,0
260,1,0,330.0,1
261,0,0,134.0,1
262,0,0,155.0,0
263,0,0,120.0,1
264,0,0,128.0,1
265,0,0,151.0,1
266,1,0,150.0,1
267,1,0,160.0,1
268,0,0,135.0,0
269,0,0,90.0,1
270,0,0,30.0,1
271,1,0,136.0,1
272,0,0,126.0,1
273,1,0,150.0,1
274,1,0,90.0,1
275,1,0,115.0,1
276,1,0,207.0,1
277,1,0,80.0,1
278,1,0,436.0,1
279,1,1,124.0,1
280,0,1,158.0,0
281,1,0,112.0,1
282,1,0,78.0,1
283,0,0,54.0,1
285,0,0,89.0,1
286,0,0,99.0,0
287,1,0,120.0,1
288,0,0,115.0,1
289,0,0,187.0,1
290,1,0,139.0,1
291,1,0,127.0,0
292,1,0,134.0,1
293,0,0,143.0,0
294,1,0,172.0,1
295,1,0,110.0,1
296,1,0,200.0,1
297,1,0,135.0,1
298,0,0,151.0,0
299,1,0,113.0,0
300,1,1,93.0,0
301,1,1,105.0,1
302,0,0,132.0,1
303,1,0,96.0,1
304,0,0,140.0,1
306,0,0,135.0,1
307,0,0,104.0,0
308,0,0,480.0,0
309,1,1,185.0,1
310,0,0,84.0,1
311,0,1,111.0,1
312,0,0,56.0,1
313,1,0,144.0,1
314,1,0,159.0,0
315,1,1,111.0,1
316,1,0,120.0,1
317,1,0,88.0,1
318,0,0,112.0,1
319,1,0,155.0,0
320,1,0,115.0,1
321,1,0,124.0,1
323,0,0,132.0,1
324,1,0,300.0,1
325,1,0,376.0,0
326,0,0,130.0,1
327,1,0,184.0,1
328,1,0,110.0,0
329,0,0,67.0,1
330,0,0,117.0,1
331,0,0,98.0,1
332,0,0,71.0,1
333,1,0,490.0,1
334,1,0,182.0,1
335,1,0,70.0,1
336,1,0,160.0,1
337,1,0,176.0,1
339,0,0,71.0,1
340,1,1,173.0,0
341,0,0,46.0,0
342,1,1,158.0,1
343,1,1,74.0,1
344,1,0,125.0,1
345,1,0,160.0,1
346,1,1,152.0,0
347,1,1,126.0,1
348,1,0,259.0,1
349,1,0,187.0,1
350,1,0,228.0,1
351,0,0,308.0,0
352,1,0,95.0,1
353,1,0,105.0,0
354,1,0,130.0,1
355,0,0,116.0,1
356,1,0,165.0,1
357,1,0,67.0,0
358,1,1,100.0,0
359,1,0,200.0,1
360,0,0,81.0,0
361,1,0,236.0,1
362,1,0,130.0,1
363,1,0,95.0,1
364,0,0,141.0,1
365,0,1,133.0,0
366,0,0,96.0,0
367,0,0,124.0,0
368,1,0,175.0,1
369,1,0,570.0,0
370,0,0,55.0,1
371,1,0,155.0,1
372,1,0,380.0,1
373,0,0,111.0,0
374,0,0,110.0,1
375,1,0,120.0,1
376,1,0,130.0,1
377,1,0,130.0,1
378,0,0,71.0,0
379,1,0,130.0,1
380,1,0,128.0,1
381,0,0,296.0,1
382,0,0,156.0,1
383,0,0,128.0,1
384,1,0,100.0,0
385,0,0,113.0,1
386,0,1,132.0,1
388,1,0,136.0,1
389,1,0,125.0,1
390,0,0,185.0,1
391,1,0,275.0,1
392,1,0,120.0,1
393,1,1,113.0,1
394,1,0,113.0,1
395,1,0,135.0,1
396,0,0,71.0,0
397,1,0,95.0,1
398,0,1,109.0,1
399,0,0,103.0,0
400,1,1,45.0,0
401,0,1,65.0,0
402,0,0,103.0,1
403,0,1,53.0,1
404,0,0,194.0,0
405,0,0,115.0,1
406,1,1,115.0,1
407,0,1,66.0,1
408,1,0,152.0,0
409,1,0,360.0,0
410,0,1,62.0,0
411,1,0,160.0,1
412,1,1,218.0,0
413,1,1,110.0,1
414,1,1,178.0,0
415,0,0,60.0,1
416,0,0,160.0,0
417,1,0,239.0,0
418,1,0,112.0,1
419,1,0,138.0,1
420,1,0,138.0,1
421,0,1,80.0,0
422,1,0,100.0,1
423,1,0,110.0,0
424,1,0,96.0,1
425,1,0,121.0,1
426,0,1,81.0,0
427,1,0,133.0,1
428,1,0,87.0,1
429,0,1,60.0,1
430,0,0,150.0,1
431,0,0,105.0,0
432,0,0,405.0,1
433,1,0,143.0,1
434,0,0,100.0,1
436,0,0,50.0,1
438,0,0,187.0,0
439,1,1,138.0,1
440,0,0,187.0,1
441,1,0,180.0,1
442,0,1,148.0,1
443,0,0,152.0,1
444,1,0,175.0,1
445,1,0,130.0,1
446,1,1,110.0,1
447,1,0,55.0,0
448,1,0,150.0,0
449,0,1,190.0,0
450,1,1,125.0,0
451,1,1,60.0,1
452,1,0,149.0,0
453,1,0,90.0,1
454,0,0,84.0,1
455,1,0,96.0,1
456,1,0,118.0,1
457,1,0,173.0,0
458,0,0,136.0,1
459,1,0,160.0,0
460,1,0,160.0,1
461,1,0,128.0,1
462,1,0,153.0,1
463,0,1,132.0,1
464,0,0,98.0,0
465,0,0,140.0,1
466,1,1,70.0,0
467,1,0,110.0,1
468,1,1,98.0,1
469,1,0,110.0,0
470,1,0,162.0,1
471,1,1,113.0,0
472,1,0,100.0,1
473,0,0,93.0,1
474,0,0,162.0,1
475,1,0,150.0,1
476,1,0,230.0,1
477,1,0,132.0,0
478,1,0,86.0,1
480,0,1,154.0,1
481,1,1,113.0,1
482,1,0,128.0,1
483,1,0,234.0,1
484,1,0,246.0,1
485,1,1,131.0,1
486,0,0,80.0,0
487,1,0,500.0,0
488,1,0,160.0,1
489,0,0,75.0,0
490,0,1,96.0,1
491,1,1,186.0,1
492,0,1,110.0,1
493,0,1,225.0,1
494,1,0,119.0,0
495,1,0,105.0,1
496,1,1,107.0,1
497,1,0,111.0,1
498,1,0,95.0,1
499,0,0,209.0,0
